time,id,text,isRetweet,isDeleted,device,favorites,retweets,isFlagged
2017-10-11 19:49:00,9.18202e+17,Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to last Sundays tragedy.,f,f,Twitter for iPhone,97153,15070,f
2017-10-11 01:15:00,9.17922e+17,"The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....",f,f,Twitter for iPhone,57732,12404,f
2017-10-11 01:21:00,9.17923e+17,"...fired. This story is totally made up by the dishonest media.The Chief is doing a FANTASTIC job for me and, more importantly, for the USA!",f,f,Twitter for iPhone,64639,12241,f
2017-10-11 21:18:00,9.18224e+17,"Join me LIVE at 5:45pmE from Harrisburg, Pennsylvania! TaxReform USA ",f,f,Twitter for iPhone,23615,4014,f
2017-10-11 21:32:00,9.18228e+17,I will be interviewed tonight on FoxNews by SeanHannity at 9pmE. Enjoy!,f,f,Twitter for iPhone,48507,8095,f
2017-10-11 23:28:00,9.18257e+17,"We need a tax system that is FAIR to working families &amp, that encourages companies to STAY in America, GROW in America, and HIRE in America ",f,f,Twitter for iPhone,47955,9768,f
2017-10-11 23:56:00,9.18264e+17,Joining SeanHannity tonight at 9pmE on FoxNews. Enjoy! ,f,f,Twitter for iPhone,26748,4332,f
2017-10-11 07:50:00,9.18202e+17, realDonaldTrump: Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to l...,t,t,Twitter for iPhone,0,14904,f
2017-10-12 00:09:00,9.18267e+17,"Network news has become so partisan, distorted and fake that licenses must be challenged and, if appropriate, revoked. Not fair to public!",f,f,Twitter for iPhone,72622,15551,f
2017-10-12 00:40:00,9.18275e+17,"In even the darkest moments, the light of our people has shown through their goodness, their courage and their love. USA ",f,f,Twitter Media Studio,51234,10578,f
2017-10-12 00:55:00,9.18279e+17, realDonaldTrump: I will be interviewed tonight on FoxNews by SeanHannity at 9pmE. Enjoy!,t,f,Twitter for iPhone,0,8095,f
2017-10-12 10:04:00,9.18417e+17,Clips from tax speech and seanhannity on foxandfriends now. Have a great day!,f,f,Twitter for iPhone,31556,5208,f
2017-10-12 10:49:00,9.18428e+17,"""""""Puerto Rico survived the Hurricanes, now a financial crisis looms largely of their own making."""" says Sharyl Attkisson. A total lack of.....""",f,f,Twitter for iPhone,39454,7918,f
2017-10-12 10:58:00,9.18431e+17,...accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....,f,f,Twitter for iPhone,42660,7929,f
2017-10-12 11:07:00,9.18433e+17,"...We cannot keep FEMA, the Military &amp, the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!",f,f,Twitter for iPhone,54280,10468,f
2017-10-12 12:17:00,9.18269e+17, realDonaldTrump: I will be interviewed tonight on FoxNews by SeanHannity at 9pmE. Enjoy!,t,t,Twitter for iPhone,0,7042,f
2017-10-12 12:45:00,9.18458e+17,The Fake News Is going all out in order to demean and denigrate! Such hatred!,f,f,Twitter for iPhone,66978,13073,f
2017-10-12 17:06:00,9.18523e+17,"The time has come to take action to IMPROVE access, INCREASE choices, and LOWER COSTS for HEALTHCARE!  ",f,f,Twitter Media Studio,43865,10148,f
2017-10-12 18:17:00,9.18541e+17,"We need a tax system that is FAIR to working FAMILIES &amp, that encourages companies to STAY in AMERICA, GROW in AMERICA, and HIRE in AMERICA! ",f,f,Twitter Media Studio,58022,12380,f
2017-10-12 20:19:00,9.18572e+17,Happy NationalFarmersDay! ,f,f,Twitter for iPhone,42043,8644,f
2017-10-13 00:12:00,9.18631e+17,People are just now starting to find out how dishonest and disgusting (FakeNews) NBCNews is. Viewers beware. May be worse than even CNN!,f,f,Twitter for iPhone,72053,16957,f
2017-10-13 11:07:00,9.18795e+17, billoreilly: A free press is vital to protecting all Americans. A corrupt press damages the Republic.,t,f,Twitter for iPhone,0,12287,f
2017-10-13 11:10:00,9.18796e+17,"Sadly, they and others are Fake News, and the public is just beginning to figure it out! ",f,f,Twitter for iPhone,42580,9073,f
2017-10-13 11:14:00,9.18797e+17,ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!,f,f,Twitter for iPhone,63724,12099,f
2017-10-13 11:51:00,9.18806e+17,"Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime",f,f,Twitter for iPhone,77037,17606,f
2017-10-13 12:01:00,9.18809e+17,"The wonderful people of Puerto Rico, with their unmatched spirit, know how bad things were before the H's. I will always be with them!",f,f,Twitter for iPhone,53106,9442,f
2017-10-13 16:30:00,9.18877e+17,I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIHDAY to the incredible men and women USNavy!242NavyBday ,f,f,Twitter for iPhone,61701,13175,f
2017-10-13 17:07:00,9.18886e+17,"In America, we don't worship government - we worship God. ValuesVotersSummit ",f,f,Twitter for iPhone,67520,16809,f
2017-10-13 17:41:00,9.18895e+17,"""""""Consumer confidence soars to highest level since 2004"""" ",f,f,Twitter for iPhone,40510,8863,f
2017-10-13 18:09:00,9.18901e+17,"Today, I announced our strategy to confront the Iranian regimes hostile actions and to ensure that they never acquire a nuclear weapon. ",f,f,Twitter Media Studio,55564,13746,f
2017-10-13 01:18:00,9.18647e+17,"It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS! TaxReform ",f,f,Twitter Media Studio,57873,12905,f
2017-10-13 22:01:00,9.1896e+17,WeeklyAddress ,f,f,Twitter Media Studio,34542,8219,f
2017-10-13 09:36:00,9.18773e+17,The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!,f,f,Twitter for iPhone,53359,10978,f
2017-10-14 00:53:00,9.19003e+17,Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.,f,f,Twitter for iPhone,59187,11352,f
2017-10-14 11:08:00,9.19158e+17, RightlyNews: realDonaldTrump LouDobbs It is NOT a coincidence that the economy boomed immediately after the 2016 election.,t,f,Twitter for iPhone,0,4235,f
2017-10-14 11:08:00,9.19158e+17, RightlyNews: realDonaldTrump LouDobbs Trust in the media is at the lowest level in all of U.S. history. The American people see throu...,t,f,Twitter for iPhone,0,5471,f
2017-10-14 11:12:00,9.19159e+17,""" realDonaldTrump: """"Consumer confidence soars to highest level since 2004"""" ",t,f,Twitter for iPhone,0,8863,f
2017-10-14 11:18:00,9.19161e+17,"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",f,f,Twitter for iPhone,70206,14216,f
2017-10-14 11:27:00,9.19163e+17,Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!,f,f,Twitter for iPhone,99506,17749,f
2017-10-14 01:02:00,9.19006e+17,"Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",f,f,Twitter for iPhone,45233,8726,f
2017-10-14 01:10:00,9.19008e+17,"Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune.Dems must get smart &amp, deal!",f,f,Twitter for iPhone,57608,12333,f
2017-10-14 01:17:00,9.19009e+17,"ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp, deductibles are way up!",f,f,Twitter for iPhone,51169,9703,f
2017-10-14 01:31:00,9.19013e+17,"""Such a wonderful statement from the great LouDobbs. """"We take up what may be the most accomplished presidency in modern American history.""""""",f,f,Twitter for iPhone,57264,12597,f
2017-10-14 21:27:00,9.19314e+17,The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!,f,f,Twitter for iPhone,59367,12447,f
2017-10-14 21:28:00,9.19314e+17, mike_pence: We are heading to Virginia. Looking forward to supporting my friend EdWGillespie. He will make a great Governor for the Co...,t,f,Twitter for iPhone,0,6321,f
2017-10-14 21:29:00,9.19314e+17, EricTrump: .LaraLeaTrump and I look forward to being on JudgeJeanine tonight at 9pm! FoxNews MakeAmericaGreatAgain  ,t,f,Twitter for iPhone,0,4596,f
2017-10-14 23:22:00,9.19343e+17,""" FoxNews: TONIGHT on """"Justice,"""" JudgeJeanine talks to special guests EricTrump and LaraLeaTrump - Tune in at 9p ET on Fox News Channe...""",t,f,Twitter for iPhone,0,3473,f
2017-10-15 13:25:00,9.19555e+17,"The Failing nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp, The Paris Accord &amp, the fast....",f,f,Twitter for iPhone,50412,9859,f
2017-10-15 13:46:00,9.1956e+17,"...approvals of The Keystone XL &amp, Dakota Access pipelines. Also, look at the recent EPA cancelations &amp, our great new Supreme Court Justice!",f,f,Twitter for iPhone,65187,11590,f
2017-10-16 00:49:00,9.19727e+17," mike_pence: .EdWGillespie is fighting to grow the economy &amp, cut taxes! Hes fighting for a safer VA. And hes is fighting for affordab...",t,f,Twitter for iPhone,0,4582,f
2017-10-16 00:55:00,9.19728e+17, ABCNewsRadio: Global fund championed by Ivanka Trump to help women entrepreneurs begins operations  ,t,f,Twitter for iPhone,0,4409,f
2017-10-16 12:17:00,9.199e+17,Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  FoxNews,f,f,Twitter for iPhone,48736,10163,f
2017-10-16 12:21:00,9.19901e+17,The Democrats only want to increase taxes and obstruct. That's all they are good at!,f,f,Twitter for iPhone,47851,9945,f
2017-10-16 12:49:00,9.19908e+17,"Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!",f,f,Twitter for iPhone,63983,16382,f
2017-10-16 12:54:00,9.19909e+17,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp, companies are coming back to U.S.",f,f,Twitter for iPhone,78756,15896,f
2017-10-16 12:57:00,9.1991e+17,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",f,f,Twitter for iPhone,81708,15347,f
2017-10-16 13:12:00,9.19914e+17,"""I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, """"I hope so!""""""",f,f,Twitter for iPhone,125555,26374,f
2017-10-16 23:32:00,9.2007e+17,Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! ,f,f,Twitter for iPhone,55694,9703,f
2017-10-17 11:05:00,9.20244e+17, Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016}  ,t,f,Twitter for iPhone,0,6166,f
2017-10-17 12:39:00,9.20268e+17,Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!,f,f,Twitter for iPhone,42240,6861,f
